dcurrProfile: 0.5139620.1509870.335051
currProfile: 0.9878540.005809810.00633656
ability: 39.8232
preference: 0.0635683
currProfile: 0.9290750.00788320.0630418
ability: 39.8756
preference: 0.0647462
currProfile: 0.5905030.1770360.232461
ability: 39.9252
preference: 0.061372
currProfile: 0.1620230.6711080.166869
ability: 39.983
preference: 0.0714041
currProfile: 0.2687150.04517110.686113
ability: 40.0934
preference: 0.136585
currProfile: 0.4403820.4889460.0706717
ability: 40.1145
preference: 0.0260867
currProfile: 0.4304030.2160390.353558
ability: 40.2118
preference: 0.12026
currProfile: 0.4114810.4834310.105088
ability: 40.2672
preference: 0.0684659
currProfile: 0.5743580.4157950.00984638
ability: 40.3621
preference: 0.117376
currProfile: 0.09302040.7793490.127631
ability: 40.4552
preference: 0.115125
currProfile: 0.6571860.01275340.330061
ability: 40.5785
preference: 0.152457
currProfile: 0.2126830.3146910.472625
ability: 40.6148
preference: 0.0448791
currProfile: 0.1802420.2650880.554669
ability: 40.6738
preference: 0.0730198
currProfile: 0.4563740.1455660.39806
ability: 40.7237
preference: 0.0616452
currProfile: 0.1985230.2225360.578941
ability: 40.7697
preference: 0.0569187
currProfile: 0.1827750.3009820.516243
ability: 40.8141
preference: 0.0548393
currProfile: 0.7669610.1398080.0932314
ability: 40.8695
preference: 0.0685354
currProfile: 0.3891720.2800150.330813
ability: 40.9308
preference: 0.0757224
currProfile: 0.4195990.5554970.0249044
ability: 40.9937
preference: 0.0778183
currProfile: 0.6054260.08040310.314171
ability: 41.1
preference: 0.131404
currProfile: 0.5970340.3871020.0158643
ability: 41.1438
preference: 0.0542462
currProfile: 0.51030.284970.20473
ability: 41.2338
preference: 0.111198
currProfile: 0.09726250.4222620.480476
ability: 41.3037
preference: 0.0865013
currProfile: 0.3774220.3876410.234937
ability: 41.3731
preference: 0.0857944
currProfile: 0.8256170.1090670.0653157
ability: 41.4517
preference: 0.09724
currProfile: 0.6151310.1778760.206993
ability: 41.5114
preference: 0.0737152
currProfile: 0.4503010.4213460.128353
ability: 41.5705
preference: 0.0731382
currProfile: 0.2835780.06703540.649387
ability: 41.658
preference: 0.108223
currProfile: 0.3245640.6563270.0191085
ability: 41.6832
preference: 0.0311365
currProfile: 0.7694330.08493140.145636
ability: 41.7999
preference: 0.14422
currProfile: 0.9720450.02418580.00376919
ability: 41.8529
preference: 0.0655943
currProfile: 0.8754540.007035580.11751
ability: 41.9072
preference: 0.0671786
currProfile: 0.6209910.09576150.283248
ability: 41.954
preference: 0.0577804
currProfile: 0.02401810.1118740.864108
ability: 42.001
preference: 0.0581214
currProfile: 0.9545270.04472740.000745225
ability: 42.0195
preference: 0.0229249
currProfile: 0.6272770.1910190.181703
ability: 42.076
preference: 0.0699076
currProfile: 0.3324690.6285190.0390125
ability: 42.1378
preference: 0.0763795
currProfile: 0.6565140.1933110.150175
ability: 42.2506
preference: 0.139513
currProfile: 0.1214330.09043870.788128
ability: 42.3143
preference: 0.0786807
currProfile: 0.6813560.1605420.158101
ability: 42.3346
preference: 0.0251432
currProfile: 0.1285740.417030.454395
ability: 42.3946
preference: 0.0741287
currProfile: 0.4415720.2912880.267139
ability: 42.4648
preference: 0.0868182
currProfile: 0.7810910.1536850.0652245
ability: 42.5321
preference: 0.083286
currProfile: 0.1188090.05125740.829934
ability: 42.5962
preference: 0.0792281
currProfile: 0.446120.3832220.170659
ability: 42.6105
preference: 0.0176309
currProfile: 0.0931730.6499480.256879
ability: 42.692
preference: 0.100809
currProfile: 0.3558150.1033110.540874
ability: 42.7957
preference: 0.128211
currProfile: 0.1062040.1330040.760791
ability: 42.8301
preference: 0.0425606
currProfile: 0.4394670.4468430.113691
ability: 42.8561
preference: 0.032147
currProfile: 0.9008760.05839390.0407302
ability: 42.9469
preference: 0.112309
currProfile: 0.2023990.1039630.693638
ability: 43.0028
preference: 0.0690347
currProfile: 0.3266090.01183730.661554
ability: 43.0293
preference: 0.0328615
currProfile: 0.2869050.2309010.482194
ability: 43.0484
preference: 0.0235447
currProfile: 0.3091530.299620.391228
ability: 43.0986
preference: 0.0620653
currProfile: 0.8182320.05063570.131133
ability: 43.1603
preference: 0.0763704
currProfile: 0.2964260.2330790.470495
ability: 43.2107
preference: 0.0622898
currProfile: 0.1677910.6756060.156603
ability: 43.2617
preference: 0.063083
currProfile: 0.4482860.1672970.384416
ability: 43.3732
preference: 0.137798
currProfile: 0.2922450.6782280.0295267
ability: 43.4221
preference: 0.0604743
currProfile: 0.3563040.3913020.252395
ability: 43.5404
preference: 0.146256
currProfile: 0.0675680.2482820.68415
ability: 43.6185
preference: 0.0965743
currProfile: 0.7800230.2047920.0151857
ability: 43.6599
preference: 0.0512818
currProfile: 0.4077880.09531920.496892
ability: 43.7317
preference: 0.0887394
currProfile: 0.2155520.3704980.41395
ability: 43.7676
preference: 0.0443898
currProfile: 0.4517960.4905510.0576528
ability: 43.8353
preference: 0.0836641
currProfile: 0.1769460.009168210.813885
ability: 43.9334
preference: 0.121291
currProfile: 0.5051120.3026390.192249
ability: 43.9443
preference: 0.0134633
currProfile: 0.198950.5295920.271458
ability: 44.0166
preference: 0.0894812
currProfile: 0.4023870.4983430.0992709
ability: 44.1075
preference: 0.112423
currProfile: 0.2214120.7086820.0699059
ability: 44.2043
preference: 0.119589
currProfile: 0.5782650.3193610.102374
ability: 44.3235
preference: 0.14743
currProfile: 0.6537680.09963150.246601
ability: 44.4022
preference: 0.0972989
currProfile: 0.8584250.08395490.0576204
ability: 44.4515
preference: 0.0609452
currProfile: 0.6755270.2430950.0813781
ability: 44.509
preference: 0.0711083
currProfile: 0.5661490.1933640.240487
ability: 44.5811
preference: 0.0892296
currProfile: 0.03109840.2594420.709459
ability: 44.6401
preference: 0.0729057
currProfile: 0.9183020.02525720.0564409
ability: 44.6814
preference: 0.051039
currProfile: 0.7562490.05405870.189693
ability: 44.7331
preference: 0.0639389
currProfile: 0.09878840.6704560.230755
ability: 44.7808
preference: 0.0589634
currProfile: 0.4524980.4148160.132686
ability: 44.8879
preference: 0.132415
currProfile: 0.5759760.248860.175164
ability: 44.9745
preference: 0.10714
currProfile: 0.01049840.04390810.945594
ability: 45.0424
preference: 0.0839373
currProfile: 0.3204750.1357930.543732
ability: 45.0499
preference: 0.0093195
currProfile: 0.5437480.0001810140.456071
ability: 45.0875
preference: 0.0463868
currProfile: 0.437330.2601880.302482
ability: 45.116
preference: 0.0352605
currProfile: 0.7523120.1468730.100815
ability: 45.1784
preference: 0.0771848
currProfile: 0.955290.02789660.016813
ability: 45.2399
preference: 0.0761089
currProfile: 0.5993220.2667560.133922
ability: 45.294
preference: 0.0668016
currProfile: 0.463210.065610.47118
ability: 45.3658
preference: 0.0887862
currProfile: 0.7726680.008068710.219264
ability: 45.4
preference: 0.042369
currProfile: 0.5216530.4172960.0610507
ability: 45.4416
preference: 0.0513939
currProfile: 0.6428420.2197970.137361
ability: 45.5322
preference: 0.112032
currProfile: 0.1146280.2296720.6557
ability: 45.5991
preference: 0.0827701
currProfile: 0.3346960.4117870.253517
ability: 45.6402
preference: 0.0508061
currProfile: 0.64040.1031930.256407
ability: 45.7203
preference: 0.0990308
currProfile: 0.08032470.144490.775186
ability: 45.7695
preference: 0.0607569
currProfile: 0.1678820.2574540.574663
ability: 45.7959
preference: 0.0326431
currProfile: 0.2845550.6275190.0879268
ability: 45.8439
preference: 0.059423
currProfile: 0.2403640.3434560.416181
ability: 45.9541
preference: 0.136259
currProfile: 0.6796170.3165110.00387194
ability: 46.019
preference: 0.0801835
currProfile: 0.8884240.07223630.0393394
ability: 46.1025
preference: 0.103253
currProfile: 0.6088440.364810.026346
ability: 46.1598
preference: 0.0708322
currProfile: 0.3088780.4390090.252113
ability: 46.2469
preference: 0.107776
currProfile: 0.03234960.1629830.804667
ability: 46.3298
preference: 0.102481
currProfile: 0.7001560.2944180.00542643
ability: 46.3565
preference: 0.0330383
currProfile: 0.9682610.00347740.0282619
ability: 46.4377
preference: 0.100426
currProfile: 0.3697320.3029490.327319
ability: 46.4887
preference: 0.0630547
currProfile: 0.7878660.04092870.171205
ability: 46.5541
preference: 0.0808726
currProfile: 0.9704280.006094630.0234778
ability: 46.6015
preference: 0.0585263
currProfile: 0.5800650.05062230.369312
ability: 46.653
preference: 0.063684
currProfile: 0.9448840.04826370.00685276
ability: 46.691
preference: 0.0470404
currProfile: 0.7733090.1503760.0763156
ability: 46.7476
preference: 0.0699531
currProfile: 0.4219180.5071070.0709745
ability: 46.8108
preference: 0.0781096
currProfile: 0.7752620.223380.00135802
ability: 46.9098
preference: 0.122482
currProfile: 0.7787410.1792720.041987
ability: 46.9842
preference: 0.091919
currProfile: 0.5245830.4316440.0437737
ability: 47.052
preference: 0.0838739
currProfile: 0.9181190.04732650.0345547
ability: 47.1449
preference: 0.114909
currProfile: 0.9992980.0004999830.000201943
ability: 47.2
preference: 0.068064
currProfile: 0.6058230.332140.0620371
ability: 47.2521
preference: 0.0644835
